#1
double	presence(35040, 2)
1526446800	0
1526447700	0
1526448600	0
1526449500	0
1526450400	0
1526451300	0
1526452200	0
1526453100	0
1526454000	0
1526454900	0
1526455800	0
1526456700	0
1526457600	0
1526458500	0
1526459400	0
1526460300	0
1526461200	0
1526462100	0
1526463000	0
1526463900	0
1526464800	0
1526465700	0
1526466600	0
1526467500	0
1526468400	0
1526469300	0
1526470200	0
1526471100	0
1526472000	0
1526472900	0
1526473800	0
1526474700	0
1526475600	0
1526476500	0
1526477400	0
1526478300	0
1526479200	0
1526480100	0
1526481000	0
1526481900	0
1526482800	1
1526483700	1
1526484600	1
1526485500	1
1526486400	1
1526487300	1
1526488200	1
1526489100	1
1526490000	1
1526490900	1
1526491800	1
1526492700	1
1526493600	1
1526494500	1
1526495400	1
1526496300	1
1526497200	1
1526498100	1
1526499000	1
1526499900	1
1526500800	1
1526501700	1
1526502600	1
1526503500	1
1526504400	0
1526505300	0
1526506200	0
1526507100	0
1526508000	0
1526508900	0
1526509800	0
1526510700	0
1526511600	0
1526512500	0
1526513400	0
1526514300	0
1526515200	0
1526516100	0
1526517000	0
1526517900	0
1526518800	0
1526519700	0
1526520600	0
1526521500	0
1526522400	0
1526523300	0
1526524200	0
1526525100	0
1526526000	0
1526526900	0
1526527800	0
1526528700	0
1526529600	0
1526530500	0
1526531400	0
1526532300	0
1526533200	0
1526534100	0
1526535000	0
1526535900	0
1526536800	0
1526537700	0
1526538600	0
1526539500	0
1526540400	0
1526541300	0
1526542200	0
1526543100	0
1526544000	0
1526544900	0
1526545800	0
1526546700	0
1526547600	0
1526548500	0
1526549400	0
1526550300	0
1526551200	0
1526552100	0
1526553000	0
1526553900	0
1526554800	0
1526555700	0
1526556600	0
1526557500	0
1526558400	0
1526559300	0
1526560200	0
1526561100	0
1526562000	0
1526562900	0
1526563800	0
1526564700	0
1526565600	0
1526566500	0
1526567400	0
1526568300	0
1526569200	1
1526570100	1
1526571000	1
1526571900	1
1526572800	1
1526573700	1
1526574600	1
1526575500	1
1526576400	1
1526577300	1
1526578200	1
1526579100	1
1526580000	1
1526580900	1
1526581800	1
1526582700	1
1526583600	1
1526584500	1
1526585400	1
1526586300	1
1526587200	1
1526588100	1
1526589000	1
1526589900	1
1526590800	0
1526591700	0
1526592600	0
1526593500	0
1526594400	0
1526595300	0
1526596200	0
1526597100	0
1526598000	0
1526598900	0
1526599800	0
1526600700	0
1526601600	0
1526602500	0
1526603400	0
1526604300	0
1526605200	0
1526606100	0
1526607000	0
1526607900	0
1526608800	0
1526609700	0
1526610600	0
1526611500	0
1526612400	0
1526613300	0
1526614200	0
1526615100	0
1526616000	0
1526616900	0
1526617800	0
1526618700	0
1526619600	0
1526620500	0
1526621400	0
1526622300	0
1526623200	0
1526624100	0
1526625000	0
1526625900	0
1526626800	0
1526627700	0
1526628600	0
1526629500	0
1526630400	0
1526631300	0
1526632200	0
1526633100	0
1526634000	0
1526634900	0
1526635800	0
1526636700	0
1526637600	0
1526638500	0
1526639400	0
1526640300	0
1526641200	0
1526642100	0
1526643000	0
1526643900	0
